Episode,Average Reward,Average Speed (m/s),Queue Length,Congestion Rate
1,-4420.251761467939,10.159043697348903,24,0.48
2,-4410.08000993108,10.229722091112135,24,0.48
3,-4258.710764929422,7.119404315092194,1,0.02
4,-4142.0892921539835,6.378609994080989,2,0.04
5,-4137.580810636619,6.337755901360845,1,0.02
6,-4168.666721504766,7.935443064201709,10,0.2
7,-4327.8088752930935,8.854818419434405,4,0.08
8,-4137.741378015011,6.512303939319645,1,0.02
9,-4181.261177294599,7.913871416553652,9,0.18
10,-4176.792074930735,6.575306487086934,1,0.02
11,-4241.144236194477,6.8334212528191935,0,0.0
12,-4158.460086836297,6.405548419579139,4,0.08
13,-4144.554643643285,6.829320272051083,3,0.06
14,-4138.939498714656,6.37214542730165,3,0.06
15,-4131.735033932719,5.801363891992171,3,0.06
16,-4149.257634543727,7.619845751312996,4,0.08
17,-4286.750889314082,9.261900902209128,21,0.42
18,-4236.606401829381,7.58081650203624,8,0.16
19,-4164.699245352994,6.9050507554712635,1,0.02
20,-4138.518543105268,6.161980211844996,0,0.0
21,-4161.280188157284,6.78058739055244,1,0.02
22,-4156.669750037276,6.564984950243001,1,0.02
23,-4131.439291324255,6.349303187006213,0,0.0
24,-4165.049813318832,6.924703586361807,5,0.1
25,-4136.39047904329,6.309072689455793,4,0.08
26,-4169.7776239195355,6.627557480297995,2,0.04
27,-4195.037128191626,7.77579110058041,3,0.06
28,-4128.805276832913,5.964418111626754,1,0.02
29,-4169.325691616904,6.402334098508292,3,0.06
30,-4172.570639478207,6.704829840954855,3,0.06
31,-4149.8597170245075,6.655060062099026,0,0.0
32,-4158.567329397308,6.62229136938445,0,0.0
33,-4196.45893111065,7.628366169080166,4,0.08
34,-4237.176396180622,7.702639349421796,0,0.0
35,-4135.108645491315,6.252404810834363,1,0.02
36,-4189.5952055390635,7.106049887707711,4,0.08
37,-4179.150888834633,6.824746974445126,6,0.12
38,-4186.639937501564,7.6556938294456565,8,0.16
39,-4148.876439579362,7.0539330312293576,3,0.06
40,-4207.884043905064,6.918603743329165,1,0.02
41,-4133.06063270935,6.209793559595775,0,0.0
42,-4142.407390240881,6.626099218073069,5,0.1
43,-4152.908072660453,6.947778121312422,5,0.1
44,-4193.099047083992,8.290226365170138,3,0.06
45,-4130.692861374436,6.07695317162571,0,0.0
46,-4216.42106789753,7.263538537414145,1,0.02
47,-4308.550665405794,8.121388056683367,11,0.22
48,-4154.781089086072,6.7270710339097315,1,0.02
49,-4300.965132294309,8.05585250176688,10,0.2
50,-4146.664054378796,6.550595771630184,0,0.0
51,-4189.836171201373,7.6730684200134744,4,0.08
52,-4136.691713293076,6.561162125683163,4,0.08
53,-4134.539876212597,6.318208570913441,0,0.0
54,-4143.598269726595,6.416484947564724,1,0.02
55,-4181.233640474844,7.523664781677489,10,0.2
56,-4139.418606582754,6.236527335852234,5,0.1
57,-4152.671614542873,6.945245371036152,9,0.18
58,-4126.641122990031,6.411707983525219,3,0.06
59,-4146.442378675484,7.0143602519453765,3,0.06
60,-4168.648633866838,5.899238295161991,4,0.08
61,-4134.27809889584,5.832977175171234,1,0.02
62,-4226.994742024145,6.52066594919408,3,0.06
63,-4137.338788853677,6.663066018983434,0,0.0
64,-4306.620823761824,8.855117445069546,16,0.32
65,-4150.018123955574,6.482993890766077,1,0.02
66,-4283.0600300881815,7.670723972421828,7,0.14
67,-4134.055719641128,6.790405740117133,3,0.06
68,-4155.959097879053,6.867791503521403,2,0.04
69,-4134.201082441466,6.775042421417918,4,0.08
70,-4156.594819369704,7.219842456349281,2,0.04
71,-4155.985977297024,7.284041671233658,9,0.18
72,-4153.6010188747405,6.821067420596594,7,0.14
73,-4204.341845465669,8.41288237985667,8,0.16
74,-4257.763291198777,8.663877347090605,10,0.2
75,-4132.156877649683,6.711546951719405,0,0.0
76,-4143.773337423816,6.086157536505643,0,0.0
77,-4136.2809853079,6.244658708022439,2,0.04
78,-4174.959707891995,6.860380264098497,3,0.06
79,-4140.801373990783,6.213220198466278,3,0.06
80,-4186.395137417678,8.34685711248597,11,0.22
81,-4164.260342753354,6.988110395379955,0,0.0
82,-4150.054755180713,6.803556724318931,8,0.16
83,-4288.01027284735,8.603898605893914,7,0.14
84,-4152.018425869726,7.490883039576876,6,0.12
85,-4156.139733109325,6.95083947619132,5,0.1
86,-4199.868228480242,7.482873458249743,9,0.18
87,-4143.200057682498,5.920097066624595,1,0.02
88,-4144.1749744303415,7.210893763380267,4,0.08
89,-4136.487663193211,5.7333776250603385,0,0.0
90,-4142.511235085349,6.281480667117107,1,0.02
91,-4291.11084638327,9.560439378267864,23,0.46
92,-4297.537316153589,8.441631881522728,10,0.2
93,-4130.79234867106,5.874429778222404,0,0.0
94,-4166.425056431291,6.807234539843324,3,0.06
95,-4227.7025831086385,8.190105244984323,11,0.22
96,-4146.795163027595,6.266997107293983,4,0.08
97,-4165.007605648351,7.432398549952699,1,0.02
98,-4339.906522808073,9.806475367757704,24,0.48
99,-4137.985207209935,6.278469857647247,8,0.16
100,-4138.654984857363,6.192722053310138,0,0.0
101,-4195.87818613899,6.848495488007771,1,0.02
102,-4166.898469700364,7.347578674444171,10,0.2
